AllowedLocations,AmmoID,BattleValue,BonusValueA,BonusValueB,Capacity,ComponentSubType,ComponentTags.items,ComponentTags.tagSetSourceFile,ComponentType,CriticalComponent,Custom.BonusDescriptions,Custom.Category,Custom.Flags,Custom.InventorySorter,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Manufacturer,Description.Model,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,DisallowedLocations,InventorySize,PrefabIdentifier,Tonnage,statusEffects,Custom.ComponentExplosion,Custom.Lootable,Custom.VolatileAmmo,Custom.TRGBColor,CanExplode,Custom.ColorChangeRule,Custom.RequiredCategory,Custom.Tag
All,Ammunition_AntiMissile_Caseless,0,,,400,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AmmoJAMFlat: 25%"",""AMSShots: +10"",""AMSHeat: +4"",""AMSAmmo: 400"",""Caseless"",""VolatileAmmo""]}","[{""CategoryID"":""a/s/a/ams""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000032""}",100000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",AMS,Ammo_AmmunitionBox_AntiMissile_Caseless,Generic,AMS,AMS Ammo,true,6,Ammo AMS [CL],All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,"{""damageWeighting"":1}",,,,,
All,Ammunition_AntiMissile,0,,,460,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Doubled"",""AMSAmmo: 480""]}","[{""CategoryID"":""a/s/a/ams""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000032""}",30000,"Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one location. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",AMS,Ammo_AmmunitionBox_AntiMissile_double,Generic,AMS,AMS Ammo,true,5,Ammo AMS [DBL],All,2,,2,[],"{""ExplosionDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,,,,,,
All,Ammunition_AntiMissile,0,,,100,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AMSAmmo: 100""]}","[{""CategoryID"":""a/s/a/ams""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000032""}",6600,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",AMS,Ammo_AmmunitionBox_AntiMissile_half,Generic,AMS,AMS Ammo Half Load,true,2,Ammo AMS [Half],All,1,,0.5,[],"{""ExplosionDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,,,,,,
All,Ammunition_AMS_HE,0,,,100,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AmmoJAMFlat: 20%"",""AMSDmg: 1"",""AMSShots: -10"",""AMSAmmo: 100"",""VolatileAmmo""]}","[{""CategoryID"":""a/s/a/ams""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000032""}",100000,"HE AMS Shells are an adaption of old time flak shells, firing time delayed explosive into the path of incoming Missiles. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",AMS,Ammo_AmmunitionBox_AntiMissile_HE,Generic,AMS,AMS Ammo,true,6,Ammo AMS HE,All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,"{""damageWeighting"":1}",,,,,
All,Ammunition_ArrowIV_Fascam,0,,,5,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Thunder"",""ThunderMines: 60"",""ThunderRadius: 60"",""ThunderChance: 70%"",""ThunderDamage: 3"",""MissileHP: 20"",""ArrowIVAmmo: 5""]}","[{""CategoryID"":""a/m/t/arrowiv""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00051""}",60000,"FASCAM (Field Artillery Scatterable Mines) rounds, contains small but powerful anti-vehicle and anti-personnel mines which scatter out when fired,. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ArrowIV,Ammo_AmmunitionBox_Fascam_ArrowIV,Generic,ArrowIV,ArrowIV Ammo,true,1,Ammo ArrowIV FASCAM,All,1,,1,[],"{""ExplosionDamagePerAmmo"":100,""StabilityDamagePerAmmo"":30}",,,,,,,
All,Ammunition_ArrowIV_Fascam,0,,,3,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Thunder"",""ThunderMines: 60"",""ThunderRadius: 60"",""ThunderChance: 70%"",""ThunderDamage: 3"",""MissileHP: 20"",""ArrowIVAmmo: 5""]}","[{""CategoryID"":""a/m/t/arrowiv""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00051""}",40000,"FASCAM (Field Artillery Scatterable Mines) rounds, contains small but powerful anti-vehicle and anti-personnel mines which scatter out when fired,. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ArrowIV,Ammo_AmmunitionBox_Fascam_ArrowIV_half,Generic,ArrowIV,ArrowIV Ammo,true,2,Ammo ArrowIV FASCAM [Half],All,1,,0.5,[],"{""ExplosionDamagePerAmmo"":100,""StabilityDamagePerAmmo"":30}",,,,,,,
All,Ammunition_Thumper_Fascam,0,,,20,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Thunder"",""ThunderMines: 20"",""ThunderRadius: 32"",""ThunderChance: 50%"",""ThunderDamage: 6"",""ThumperAmmo: 20""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000053""}",40000,"FASCAM (Field Artillery Scatterable Mines) rounds, contains small but powerful anti-vehicle and anti-personnel mines which scatter out when fired, Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Fascam_Thumper,Generic,Thumper,Thumper Ammo,true,5,Ammo Thumper Fascam,All,1,,1,[],"{""ExplosionDamagePerAmmo"":75,""StabilityDamagePerAmmo"":25}",,,,,,,
All,Ammunition_Thumper_Fascam,0,,,10,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Thunder"",""ThunderMines: 20"",""ThunderRadius: 32"",""ThunderChance: 50%"",""ThunderDamage: 6"",""ThumperAmmo: 10""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000053""}",24000,"Thunder Shells, also known as FASCAM Shells, are variations on Thunder LRMs developed by the Terran Hegemony in 2621. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Fascam_Thumper_half,Generic,Thumper,Thumper Ammo,true,2,Ammo Thumper Fascam [Half],All,1,,0.5,[],"{""ExplosionDamagePerAmmo"":75,""StabilityDamagePerAmmo"":25}",,,,,,,
All,Ammunition_ArrowIV,0,,,5,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 75"",""AreaOfEffectConversion: 90%"",""ArrowIVAmmo: 5"",""MineClearanceBoom: 5"",""MissileHP: 20""]}","[{""CategoryID"":""a/m/t/arrowiv""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00051""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ArrowIV,Ammo_AmmunitionBox_Generic_ArrowIV,Generic,ArrowIV,ArrowIV Ammo,true,1,Ammo ArrowIV,All,1,,1,[],"{""ExplosionDamagePerAmmo"":120,""StabilityDamagePerAmmo"":30}",,,,,,,
All,Ammunition_LongTom,0,,,5,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 105"",""AreaOfEffectConversion: 90%"",""LongTomAmmo: 5"",""MineClearanceBoom: 10""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000054""}",60000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Generic_LongTom,Generic,LongTom,LongTom Ammo,true,1,Ammo LongTom,All,1,,1,[],"{""ExplosionDamagePerAmmo"":170,""StabilityDamagePerAmmo"":42}",,,,,,,
All,Ammunition_Railgun,0,,,4,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""RailgunAmmo: 4"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/railgun""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000055""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Generic_Railgun,Generic,Railgun,Railgun Ammo,true,1,Ammo Railgun,All,1,,1,[],,,,,,,,
All,Ammunition_Sniper,0,,,10,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 75"",""AreaOfEffectConversion: 90%"",""SniperAmmo: 10"",""MineClearanceBoom: 6""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000052""}",40000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Generic_Sniper,Generic,Sniper,Sniper Ammo,true,1,Ammo Sniper,All,1,,1,[],"{""ExplosionDamagePerAmmo"":135,""StabilityDamagePerAmmo"":33}",,,,,,,
All,Ammunition_Sniper,0,,,5,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 75"",""AreaOfEffectConversion: 90%"",""SniperAmmo: 5"",""MineClearanceBoom: 6""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000052""}",40000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Generic_Sniper_half,Generic,Sniper,Sniper Ammo,true,1,Ammo Sniper (Half),All,1,,0.5,[],"{""ExplosionDamagePerAmmo"":135,""StabilityDamagePerAmmo"":33}",,,,,,,
All,Ammunition_Thumper,0,,,20,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 45"",""AreaOfEffectConversion: 90%"",""ThumperAmmo: 20"",""MineClearanceBoom: 4""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000053""}",40000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",Artillery,Ammo_AmmunitionBox_Generic_Thumper,Generic,Thumper,Thumper Ammo,true,5,Ammo Thumper,All,1,,1,[],"{""ExplosionDamagePerAmmo"":75,""StabilityDamagePerAmmo"":25}",,,,,,,
