ArmorDamageModifier,Category,CriticalDamageModifier,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,HeatGenerated,HeatGeneratedModifier,HideIfOnlyVariant,ISDamageModifier,Type,AIBattleValue,AOECapable,AOEDamage,AOEHeatDamage,AOERange,AdditionalImpactVFX,AdditionalImpactVFXScaleX,AdditionalImpactVFXScaleY,AdditionalImpactVFXScaleZ,ColorChangeRule,ColorSpeedChange,ColorsTable,DamagePerShot,FireTerrainChance,HeatDamagePerShot,statusEffects,APCriticalChanceMultiplier,APDamage,AccuracyModifier,CriticalChanceMultiplier,DamageMultiplier,FlatJammingChance,RefireModifier,ChassisTagsAccuracyModifiers.unit_vtol,EvasivePipsIgnored,AMSDamage,ShotsWhenFired,AOEInstability,ClearMineFieldRadius,FireDurationWithoutForest,FireOnSuccessHit,FireTerrainCellRadius,FireTerrainStrength,MissileHealth,MineField.AOEDamage,MineField.AOEHeat,MineField.AOEInstability,MineField.AOERange,MineField.Chance,MineField.Count,MineField.Damage,MineField.FireDurationWithoutForest,MineField.FireOnSuccessHit,MineField.FireTerrainChance,MineField.FireTerrainStrength,MineField.Heat,MineField.InstallCellRange,MineField.SFX,MineField.VFXMinDistance,MineField.VFXprefab,MineField.statusEffects,MineField.FireTerrainCellRadius,DirectFireModifier,AMSHitChance,CanBeExhaustedAt,MaxMissRadius,MinMissRadius,tempDesignMaskCellRadius,tempDesignMaskOnImpact,tempDesignMaskOnImpactTurns,Instability,LongRange,MaxRange,MiddleRange,ProjectileSpeedMultiplier,ShortRange,MinRange,WeaponEffectID,AlwaysIndirectVisuals,ChassisTagsAccuracyModifiers.unit_powerarmor,HitGenerator,CantHitUnaffecedByPathing,ClusteringModifier,DistantVariance,Streak,SpreadRange,MineField.CantHitUnaffecedByPathing,Unguided,HasShells,MaxShellsDistance,MinShellsDistance,ProjectilesPerShot,UnseparatedDamageMult,IndirectFireCapable,ShellsRadius,LongVFXOnImpact,LongVFXOnImpactScaleX,LongVFXOnImpactScaleY,LongVFXOnImpactScaleZ,APArmorShardsMod,APMaxArmorThickness,deferredEffect.AOEDamage,deferredEffect.AOEHeatDamage,deferredEffect.AOEInstability,deferredEffect.AOERange,deferredEffect.FireDurationWithoutForest,deferredEffect.FireTerrainCellRadius,deferredEffect.FireTerrainChance,deferredEffect.FireTerrainStrength,deferredEffect.RangeColor,deferredEffect.SFX,deferredEffect.TerrainVFX,deferredEffect.TerrainVFXScale,deferredEffect.VFX,deferredEffect.VFXtime,deferredEffect.damageApplyTime,deferredEffect.id,deferredEffect.rounds,deferredEffect.statusEffects,deferredEffect.statusEffectsRangeFalloff,deferredEffect.sticky,deferredEffect.tempDesignMask,deferredEffect.tempDesignMaskCellRadius,deferredEffect.tempDesignMaskTurns,deferredEffect.text,deferredEffect.waitVFX,ChassisTagsAccuracyModifiers.unit_mech,ChassisTagsAccuracyModifiers.unit_vehicle,DamageVariance,ProjectileScale.x,ProjectileScale.y,ProjectileScale.z,isDamageVariation,isStabilityVariation,IsAAMS,IsAMS,DistantVarianceReversed,AlternateDamageCalc,DisableClustering,ammoCategoryID,ammunitionTypeID
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_AP,AC/2 Ammo,false,0,AP,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,5,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_Caseless,AC/2 Ammo,false,0,CL,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_Flak,AC/2 Ammo,false,0,Flak,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_Incendiary,AC/2 Ammo,false,0,Incendiary,0,1,,1,Normal,90,,,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,0.1,10,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.96"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""5"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2Internal,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_Internal,AC/2 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC2,1,0,Small caliber ammunition designed for long range fire in an AC/2.,null,Ammunition_AC2_Precision,AC/2 Ammo,false,0,Precision,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20,AC/20 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20_AP,AC/20 Ammo,false,0,AP,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,15,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20_Caseless,AC/20 Ammo,false,0,CL,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20_Flak,AC/20 Ammo,false,0,Flak,0,1,,1,Normal,,,,,,,,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20_Incendiary,AC/20 Ammo,false,0,Incendiary,0,1,,1,Normal,90,,,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,0.4,40,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""20"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC20Internal,1,0,"Massive rounds, designed for devastating impact, to be used in an AC/20.",null,Ammunition_AC20_Internal,AC/20 Ammo,false,0,STD,0,1,true,1,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
